,brand,product_name,product_propablity,product_detail,RRP,price,rating,product_code,stock_info,product_description
5028,KHADI , DOUBLE ELEPHANT PAPER , 640GSM , ROUGH ,289.77,200.68,,PKR14W/20,Low Stock, 640GSM  ROUGH  70X100CM 
5029,CANSON , BRISTOL DRAWING PAPER , PAD , A3 ,12.54,9.37,,PBRA3,In Stock Online, PAD  A3  20 SHEETS 
5030,DALER ROWNEY , LANGTON , PRESTIGE , WATERCOLOR PAPER ,59.87,40.8,,PDB14R,In Stock Online, PRESTIGE  WATERCOLOR PAPER  BLOCK 
5031,DALER ROWNEY , LANGTON , PRESTIGE , WATERCOLOR PAPER ,33.54,22.6,,PDB10R,In Stock Online, PRESTIGE  WATERCOLOR PAPER  BLOCK 
5032,DALER ROWNEY , LANGTON , PRESTIGE , WATERCOLOR PAPER ,19.52,13.01,100.0,PDB7R,In Stock Online, PRESTIGE  WATERCOLOR PAPER  BLOCK 
5033,ART SPECTRUM , COLORFIX ROUGH , PASTEL PAPER , 300GSM ,54.03,,,TASR/10,In Stock Online, PASTEL PAPER  300GSM  50X70CM 
5034,ART SPECTRUM , COLORFIX ROUGH , PASTEL PAPER , 300GSM ,5.51,,,TASR,In Stock Online, PASTEL PAPER  300GSM  50X70CM
5035,TURNER , MILK PAINT , RUST MEDIUM , 100ML ,34.73,15.77,,MLTN100RM,In Stock Online, RUST MEDIUM  100ML  PACK OF 2
5036,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,197.37,,90.0,CJA2131216,Low Stock, 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5037,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,189.65,,,CJA2131215,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5038,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,155.47,,100.0,CJA2131212,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5039,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,63.95,,,CJA21346,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5040,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,59.54,,100.0,CJA21345,Low Stock, 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5041,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,69.46,,,CJA21356,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5042,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,74.98,,86.6667,CJA21357,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5043,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,213.91,,,CJA2131218,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
